 AgntStrts: ,27, EstInteractns: ,1026, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,10.14, EstUtil: ,0.79, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,28, EstInteractns: ,1026, InteractnsHndld: ,1024, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,29, EstInteractns: ,1026, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,30, EstInteractns: ,1026, InteractnsHndld: ,1029, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,20, EstInteractns: ,1034, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,82.97, EstUtil: ,1, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,21, EstInteractns: ,1034, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,59.37, EstUtil: ,1, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,22, EstInteractns: ,1034, InteractnsHndld: ,1045, HndlTme: ,9.9, ASR: ,33.88, EstUtil: ,1, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,23, EstInteractns: ,1034, InteractnsHndld: ,1044, HndlTme: ,9.9, ASR: ,17.15, EstUtil: ,0.94, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,24, EstInteractns: ,1034, InteractnsHndld: ,1046, HndlTme: ,9.9, ASR: ,16.55, EstUtil: ,0.9, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,25, EstInteractns: ,1034, InteractnsHndld: ,1046, HndlTme: ,9.9, ASR: ,11.29, EstUtil: ,0.86, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,26, EstInteractns: ,1034, InteractnsHndld: ,1046, HndlTme: ,9.9, ASR: ,10.38, EstUtil: ,0.83, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,27, EstInteractns: ,1034, InteractnsHndld: ,1042, HndlTme: ,9.9, ASR: ,10.36, EstUtil: ,0.8, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,28, EstInteractns: ,1034, InteractnsHndld: ,1044, HndlTme: ,9.9, ASR: ,9.97, EstUtil: ,0.77, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,29, EstInteractns: ,1034, InteractnsHndld: ,1046, HndlTme: ,9.9, ASR: ,9.96, EstUtil: ,0.74, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,30, EstInteractns: ,1034, InteractnsHndld: ,1043, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.72, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,20, EstInteractns: ,1041, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,85.09, EstUtil: ,1, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,21, EstInteractns: ,1041, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,62.69, EstUtil: ,1, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,22, EstInteractns: ,1041, InteractnsHndld: ,1051, HndlTme: ,9.9, ASR: ,36.07, EstUtil: ,1, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,23, EstInteractns: ,1041, InteractnsHndld: ,1049, HndlTme: ,9.9, ASR: ,18.83, EstUtil: ,0.94, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,24, EstInteractns: ,1041, InteractnsHndld: ,1052, HndlTme: ,9.9, ASR: ,17.85, EstUtil: ,0.9, Tmestmp: ,9/29/2023 7:31
